broker,experiment,msg_size_bytes,target_rate,duration_sec,sent,received,lost,actual_send_rate,actual_recv_rate,avg_latency_ms,p95_latency_ms,max_latency_ms,degraded
RabbitMQ,baseline,1024,1000,30.09,1625,1625,0,54.01,54.01,18.9864,46.1371,57.4560,False
Redis,baseline,1024,1000,30.22,19449,19449,0,643.59,643.59,3.1503,5.2798,13.9358,False
RabbitMQ,msg_size,128,1000,30.09,1261,1261,0,41.91,41.91,24.3171,46.3188,69.4792,False
Redis,msg_size,128,1000,30.28,18667,18667,0,616.49,616.49,3.2805,5.3854,23.0844,False
RabbitMQ,msg_size,1024,1000,30.09,1624,1624,0,53.98,53.98,19.0431,46.4129,63.3290,False
Redis,msg_size,1024,1000,30.27,18477,18477,0,610.46,610.46,3.3448,5.5072,25.0452,False
RabbitMQ,msg_size,10240,1000,30.07,638,638,0,21.22,21.22,47.7113,50.3316,74.6038,False
Redis,msg_size,10240,1000,30.31,17786,17786,0,586.82,586.82,3.5932,5.8060,118.0336,False
RabbitMQ,msg_size,102400,1000,30.08,2547,2547,0,84.66,84.66,13.5478,50.9527,62.2313,False
Redis,msg_size,102400,1000,30.17,4669,4669,0,154.74,154.74,9.1754,45.4700,69.7610,False
RabbitMQ,rate,1024,1000,30.08,1612,1612,0,53.60,53.60,19.0809,46.0498,89.7236,False
Redis,rate,1024,1000,30.22,19237,19237,0,636.65,636.65,3.2034,5.3320,26.4525,False
RabbitMQ,rate,1024,5000,30.08,1520,1520,0,50.53,50.53,20.3056,46.3598,68.9847,False
Redis,rate,1024,5000,30.30,18262,18262,0,602.77,602.77,3.3358,5.5182,26.4747,False
RabbitMQ,rate,1024,10000,30.08,1486,1486,0,49.40,49.40,20.7873,46.5779,95.3960,False
Redis,rate,1024,10000,30.30,18592,18592,0,613.66,613.66,3.2759,5.4531,15.1346,False
